,index,state_code,alimentary_poverty,extreme_poverty,state_name,year
0,0,1,0.1719665891228696,0.08453134072339634,AGUASCALIENTES,2016
1,1,2,0.1494866774467437,0.04760915655551712,BAJA CALIFORNIA,2016
2,2,3,0.1918476981654552,0.05291519556940118,BAJA CALIFORNIA SUR,2016
3,3,4,0.25596902986206205,0.1443647925798573,CAMPECHE,2016
4,4,5,0.16123440535158876,0.0961193268429916,COAHUILA,2016
5,5,6,0.2113340225141947,0.06248096531075337,COLIMA,2016
6,6,7,0.19426826399036648,0.49519357246351775,CHIAPAS,2016
7,7,8,0.18188265054129457,0.10014839435967945,CHIHUAHUA,2016
8,8,9,0.11489878514988516,0.05587108846188974,DISTRITO FEDERAL,2016
9,9,10,0.18588673415401422,0.11904729256439352,DURANGO,2016
10,10,11,0.1977212718642252,0.10906733388942708,GUANAJUATO,2016
11,11,12,0.2783688658795314,0.3378830942717462,GUERRERO,2016
12,12,13,0.24510876912656568,0.19316752843636187,HIDALGO,2016
13,13,14,0.15405449014763634,0.05452957592614102,JALISCO,2016
14,14,15,0.2078381687612143,0.13763578455239883,MEXICO,2016
15,15,16,0.25923977013703436,0.16995616210989106,MICHOACAN,2016
16,16,17,0.19498543412366456,0.12123527818187797,MORELOS,2016
17,17,18,0.19932857493628658,0.14907329794169694,NAYARIT,2016
18,18,19,0.14378180847430524,0.04298152392197391,NUEVO LEON,2016
19,19,20,0.3137289370251257,0.3309541445536677,OAXACA,2016
20,20,21,0.20096629728566417,0.17663612562339273,PUEBLA,2016
21,21,22,0.1337814882881028,0.06778482811838452,QUERETARO,2016
22,22,23,0.16393596011571715,0.09880269473129188,QUINTANA ROO,2016
23,23,24,0.20104205886712154,0.14861985905606628,SAN LUIS POTOSI,2016
24,24,25,0.22743085839806726,0.07334628861720197,SINALOA,2016
25,25,26,0.20967141849393636,0.05845176563591237,SONORA,2016
26,26,27,0.4528638213865435,0.18469370475878139,TABASCO,2016
27,27,28,0.1924394089820709,0.10029784500379606,TAMAULIPAS,2016
28,28,29,0.22154524608624263,0.18348185218154425,TLAXCALA,2016
29,29,30,0.22212283946634734,0.2483917206669919,VERACRUZ,2016
30,30,31,0.19282373602506014,0.12052821448308398,YUCATAN,2016
31,31,32,0.15064286086096507,0.19498555358281808,ZACATECAS,2016
32,0,1,0.12986433507591208,0.07045433701211071,AGUASCALIENTES,2018
33,1,2,0.1414836557975772,0.040276536709466175,BAJA CALIFORNIA,2018
34,2,3,0.17838552956910844,0.03276946158919342,BAJA CALIFORNIA SUR,2018
35,3,4,0.27441180180763763,0.16928107026330413,CAMPECHE,2018
36,4,5,0.1826663265901582,0.0657153048197977,COAHUILA,2018
37,5,6,0.21629994285722193,0.07468132178302071,COLIMA,2018
38,6,7,0.22343005570142002,0.4935624720107479,CHIAPAS,2018
39,7,8,0.17701691370682454,0.08242074458333616,CHIHUAHUA,2018
40,8,9,0.13870864053242501,0.06363868276045202,DISTRITO FEDERAL,2018
41,9,10,0.18766122830346638,0.13127635012909433,DURANGO,2018
42,10,11,0.2069131815855733,0.10731694144905697,GUANAJUATO,2018
43,11,12,0.35572270196202194,0.36386007945335724,GUERRERO,2018
44,12,13,0.2273324883908052,0.14526941746296365,HIDALGO,2018
45,13,14,0.1510915148242969,0.058522412350963705,JALISCO,2018
46,14,15,0.1983496297695917,0.10783806282879105,MEXICO,2018
47,15,16,0.21059394340536594,0.1278166345703765,MICHOACAN,2018
48,16,17,0.24591324832502662,0.1473411086945779,MORELOS,2018
49,17,18,0.18899075962252912,0.11206535365801766,NAYARIT,2018
50,18,19,0.12193848861541771,0.04233801128480521,NUEVO LEON,2018
51,19,20,0.2791710009722834,0.30431946655315034,OAXACA,2018
52,20,21,0.20842445468878154,0.17780845141852805,PUEBLA,2018
53,21,22,0.13871163647437312,0.05057314603378756,QUERETARO,2018
54,22,23,0.17922019218070226,0.07144305725247575,QUINTANA ROO,2018
55,23,24,0.1695239630560636,0.14687661387195167,SAN LUIS POTOSI,2018
56,24,25,0.24524647287719864,0.05253437972255816,SINALOA,2018
57,25,26,0.2153268456921337,0.05816766382924205,SONORA,2018
58,26,27,0.46775603401416327,0.19545928334907123,TABASCO,2018
59,27,28,0.16732676644161462,0.11945508307397942,TAMAULIPAS,2018
60,28,29,0.20236817738642007,0.12693464517197187,TLAXCALA,2018
61,29,30,0.26980981379841706,0.2624154748282672,VERACRUZ,2018
62,30,31,0.19403566566500827,0.11538980367377294,YUCATAN,2018
63,31,32,0.16633931318288486,0.14692528107727668,ZACATECAS,2018
64,0,1,0.17448351533517947,0.08578504624066043,AGUASCALIENTES,2020
65,1,2,0.12662982233958658,0.051797006645087226,BAJA CALIFORNIA,2020
66,2,3,0.2271051093862535,0.08855536517058672,BAJA CALIFORNIA SUR,2020
67,3,4,0.245257219159219,0.227546486260353,CAMPECHE,2020
68,4,5,0.15217527759719726,0.08916482222203297,COAHUILA,2020
69,5,6,0.16599562381115124,0.062538380156557,COLIMA,2020
70,6,7,0.21123649961681873,0.4414258852990478,CHIAPAS,2020
71,7,8,0.129791956250983,0.08957985300806373,CHIHUAHUA,2020
72,8,9,0.15911975399117204,0.11787154661514933,DISTRITO FEDERAL,2020
73,9,10,0.187020098024372,0.14031630812356435,DURANGO,2020
74,10,11,0.22768421669019967,0.11849560718420532,GUANAJUATO,2020
75,11,12,0.33343945787127477,0.348493218894926,GUERRERO,2020
76,12,13,0.25310641394423933,0.16879523421459605,HIDALGO,2020
77,13,14,0.14284972951615918,0.07406331541957711,JALISCO,2020
78,14,15,0.214201740182309,0.1945491735729536,MEXICO,2020
79,15,16,0.21447834091731163,0.144921501965632,MICHOACAN,2020
80,16,17,0.23135683752573918,0.20076940477401392,MORELOS,2020
81,17,18,0.19796738317741916,0.09725620144335657,NAYARIT,2020
82,18,19,0.14097115625955098,0.07342612686601568,NUEVO LEON,2020
83,19,20,0.2844009421602306,0.2871937811281927,OAXACA,2020
84,20,21,0.27339382413094726,0.2621875967351934,PUEBLA,2020
85,21,22,0.16965945047880646,0.0837886238593386,QUERETARO,2020
86,22,23,0.27252984152762244,0.2311763201289858,QUINTANA ROO,2020
87,23,24,0.177764177584175,0.17804406392138053,SAN LUIS POTOSI,2020
88,24,25,0.21996827051978884,0.065549713573393,SINALOA,2020
89,25,26,0.22094464169608535,0.10089001608405772,SONORA,2020
90,26,27,0.40855836240539506,0.2244974410514621,TABASCO,2020
91,27,28,0.13900123946686785,0.12657513811262922,TAMAULIPAS,2020
92,28,29,0.27171404275996114,0.2770953329066818,TLAXCALA,2020
93,29,30,0.23149149388754264,0.24406681999220212,VERACRUZ,2020
94,30,31,0.22893830695650388,0.21370449056113197,YUCATAN,2020
95,31,32,0.16439698029828761,0.17010495304732093,ZACATECAS,2020
96,0,1,0.1516664397751213,0.060726286576152665,AGUASCALIENTES,2022
97,1,2,0.08835567067626877,0.02808840747499722,BAJA CALIFORNIA,2022
98,2,3,0.13674412192220245,0.02849336038384148,BAJA CALIFORNIA SUR,2022
99,3,4,0.20040440681389712,0.15909789085645032,CAMPECHE,2022
100,4,5,0.12580519209124472,0.059013507551788316,COAHUILA,2022
101,5,6,0.13282390682500123,0.044151017772441174,COLIMA,2022
102,6,7,0.1721687773369506,0.3664177200127627,CHIAPAS,2022
103,7,8,0.09342196495356557,0.05324830861032903,CHIHUAHUA,2022
104,8,9,0.09712602782156479,0.058774407118097255,DISTRITO FEDERAL,2022
105,9,10,0.19821082406507962,0.13265513537570128,DURANGO,2022
106,10,11,0.1723383010712332,0.08380759794043366,GUANAJUATO,2022
107,11,12,0.28448860007220417,0.27222361076397567,GUERRERO,2022
108,12,13,0.15172891083526807,0.1200216014873986,HIDALGO,2022
109,13,14,0.13222657727265938,0.04731485673679878,JALISCO,2022
110,14,15,0.16989638578990934,0.12117861661876357,MEXICO,2022
111,15,16,0.209462317819337,0.12926145301059494,MICHOACAN,2022
112,16,17,0.17630850979687934,0.11645773256800163,MORELOS,2022
113,17,18,0.16629237167255184,0.10133145472641862,NAYARIT,2022
114,18,19,0.10952650024786026,0.038118480668633374,NUEVO LEON,2022
115,19,20,0.23103975430829912,0.24860943099791782,OAXACA,2022
116,20,21,0.191267233254656,0.19126842473367464,PUEBLA,2022
117,21,22,0.11366195822896366,0.04604980569966506,QUERETARO,2022
118,22,23,0.12708258031068084,0.07065451816199363,QUINTANA ROO,2022
119,23,24,0.13189751330937205,0.134115509892035,SAN LUIS POTOSI,2022
120,24,25,0.17112482686638603,0.044766191494439805,SINALOA,2022
