,index,state_code,alimentary_poverty,extreme_poverty,median_income,lack_basic_services,lack_health_services,state_name,year
0,0,1,0.1719665891228696,0.08453134072339634,12544.62162426102,0.022828995055159826,0.1214123343971887,AGUASCALIENTES,2016
1,1,2,0.1494866774467437,0.04760915655551712,14044.883407013403,0.06277794972202959,0.1729479648880643,BAJA CALIFORNIA,2016
2,2,3,0.1918476981654552,0.05291519556940118,13773.83366742051,0.12813568708895812,0.12456074766355141,BAJA CALIFORNIA SUR,2016
3,3,4,0.25596902986206205,0.1443647925798573,9625.469682686467,0.2919371732634118,0.10746353263925015,CAMPECHE,2016
4,4,5,0.16123440535158876,0.0961193268429916,11773.45147892187,0.05484065870495829,0.12800314751578326,COAHUILA,2016
5,5,6,0.2113340225141947,0.06248096531075337,12140.27930422474,0.08617334471482639,0.11866350386985063,COLIMA,2016
6,6,7,0.19426826399036648,0.49519357246351775,4848.056223898503,0.5230122736887249,0.15037724738244881,CHIAPAS,2016
7,7,8,0.18188265054129457,0.10014839435967945,11170.039058015804,0.053529038128673705,0.12236416465321996,CHIHUAHUA,2016
8,8,9,0.11489878514988516,0.05587108846188974,14089.210841377197,0.0209256043687721,0.1964399292191731,DISTRITO FEDERAL,2016
9,9,10,0.18588673415401422,0.11904729256439352,10452.137163729143,0.0809059713618709,0.14092468864519092,DURANGO,2016
10,10,11,0.1977212718642252,0.10906733388942708,11254.6669298365,0.13479782941740376,0.13445781364982448,GUANAJUATO,2016
11,11,12,0.2783688658795314,0.3378830942717462,6393.053549220911,0.5021403122405682,0.13322110506410847,GUERRERO,2016
12,12,13,0.24510876912656568,0.19316752843636187,8006.865406339004,0.28098651400061553,0.1442243087669526,HIDALGO,2016
13,13,14,0.15405449014763634,0.05452957592614102,13102.685660081805,0.0485259281814957,0.17582518450618892,JALISCO,2016
14,14,15,0.2078381687612143,0.13763578455239883,10088.801441925209,0.11701914680457359,0.15521183750906373,MEXICO,2016
15,15,16,0.25923977013703436,0.16995616210989106,8471.297003762895,0.2447325300065798,0.2277775387057064,MICHOACAN,2016
16,16,17,0.19498543412366456,0.12123527818187797,9673.020586348874,0.16971790587536453,0.15044898185020297,MORELOS,2016
17,17,18,0.19932857493628658,0.14907329794169694,10246.169107886692,0.18204340132252958,0.15048472994826725,NAYARIT,2016
